Benchmarks	system.cpu.cpi	system.cpu.dcache.overall_miss_rate::total	system.cpu.icache.overall_miss_rate::total	system.l2.overall_miss_rate::total
specsjeng	10.322262	0.121985	0.000024	0.999975
specsjeng_1	6.835195	0.060996	0.000017	0.999936
specsjeng_2	10.322115	0.121985	0.000025	0.999972
specsjeng_3	10.322262	0.121985	0.000024	0.999975
specsjeng_4	10.321882	0.121986	0.000025	0.999967
specsjeng_5	10.320049	0.121985	0.000025	0.999973
specsjeng_6	10.322090	0.121985	0.000025	0.999971
specsjeng_7	10.323475	0.121985	0.000025	0.999971
specsjeng_8	10.322622	0.121985	0.000025	0.999970
specsjeng_9	10.317142	0.121985	0.000025	0.999970
specsjeng_10	10.321835	0.121985	0.000025	0.999970
specsjeng_11	10.319799	0.121985	0.000025	0.999970
specsjeng_12	17.735154	0.243963	0.000029	0.999984
specsjeng_13	6.835195	0.060996	0.000017	0.999936
specsjeng_14	5.175870	0.030472	0.000011	0.999167
specsjeng_15	10.321895	0.121985	0.000025	0.999977
specsjeng_opt	5.171573	0.030461	0.000009	0.999957
